Versão: ;6.0 - Marshmallow
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5.3"
Resolução: ;Resolução 1280x720
Câmera traseira: ;13MP
Câmera frontal: ;8MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;2300 mAh
Banda: ;Quadri-Band
Conectividade: ;Wi-Fi, 4G
NFC: ;Não
TV: ;Digital
Recursos de Chamada: ;Viva Voz
Outros Recursos: ;SMS; MMS; Bluetooth 4.0; Conexão USB; Wi-fi 802.11 b/g/n; Função Modem; Youtube; Google Maps; Hangouts; Play Books; TV Digital; Alarme; Calculadora; Cronômetro; Calendário; Horário Mundial; Visualização (Word, Excel, PPT, PDF); E-mail (POP3/IMAP4/SMTP/Exchange); A-GPS; Viva voz; Chamada em espera; Discagem rápida; Registro de chamadas; Chamada por comando de voz; Alerta vibratório; Gravador de voz; Sintonizador de TV
Conteúdo da Embalagem: ;1 Aparelho, 1 Bateria, 1 Fone de Ouvido, 1 Carregador de Viagem, 1 Manual, 1 adaptador de TV LG
Dimensões aproximadas do produto - cm (AxLxP): ;14,6x7,4x88cm
Peso líq. aproximado do produto (kg): ;153g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;LGK430TV.ABRAKG
Fornecedor: ;LG
SAC: ;0800 707 5454  ou 4004 5400



Nome Produto: ;Smartphone LG K10 Dual Chip Android 6.0 Marshmallow Tela 5.3" 16GB 4G Câmera 13MP TV Digital - Índigo
Preco: ;R$ 704,00
Código: ;125541177
Código de barras: ;7893299906091
Marca: ;LG
Modelo: ;LG K10 TV
Cor: ;Azul Escuro
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1GB
Processador: ;Octa Core 1.14 Ghz - Mediatek MT6753
Sistema Operacional: ;Android
Versão: ;6.0 Marshmallow
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5.3"
Resolução: ;1280x720
Câmera traseira: ;13MP
Câmera frontal: ;8MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;2220 mAh
Banda: ;Quadri-Band
Conectividade: ;Wi-Fi, 4G
NFC: ;Não
TV: ;Digital
Recursos de Chamada: ;Viva Voz, Chamada Rápida, Espera de Chamada
Outros Recursos: ;SMS; MMS; Bluetooth 4.0; Conexão USB; Wi-fi 802.11 b/g/n; Função Modem; Youtube; Google Maps; Hangouts; Play Books; TV Digital; Alarme; Calculadora; Cronômetro; Calendário; Horário Mundial; Visualização (Word, Excel, PPT, PDF); E-mail (POP3/IMAP4/SMTP/Exchange); A-GPS; Registro de chamadas; Chamada por comando de voz; Alerta vibratório; Gravador de voz; Sintonizador de TV
