Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Não
TV: ;Não
Recursos de Chamada: ;Viva Voz, Espera de Chamada
Conteúdo da Embalagem: ;1 Aparelho, 1 Bateria, 1 Fone de Ouvido, 1 Carregador de Viagem, 1 Manual, cabo de dados
Dimensões aproximadas do produto - cm (AxLxP): ;14,8x7,4x0,79cm
Peso líq. aproximado do produto (kg): ;139g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;LGK220DSF.ABRAGD
Fornecedor: ;LG
SAC: ;0800 707 5454  ou 4004-5400



Nome Produto: ;Smartphone Moto G 4 Plus Dual Chip Android 6.0 Tela 5,5" 32GB 4G Câmera 16MP - Bambu
Preco: ;R$ 999,00
Código: ;128911250
Código de barras: ;7892597339297
Marca: ;Motorola
Modelo: ;Moto G 4 Plus
Cor: ;Bambu
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;32GB
Memória RAM: ;2GB
Processador: ;4 x 1.5 GHz + 4 x 1.2 GHz Octa-core Qualcomm Snapdragon 617 (MSM8952)
Sistema Operacional: ;Android
Versão: ;Android Marshmallow 6.0
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5,5"
Resolução: ;1920x1080
Câmera traseira: ;16MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 128GB
Alimentação/Tipo de bateria: ;3000 mAh, Lithium
Banda: ;GSM 850/900/1800/1900 MHzWCDMA 850/900/1900/2100 MHzLTE 700(B28)/850(B5)/1800(B3)/2600(B7) MHz
Conectividade: ;Wi-Fi, 3G, 4G
TV: ;Não
Recursos de Chamada: ;Espera de Chamada, Viva Voz
Conteúdo da Embalagem: ;1 Smartphone com Capa Bamboo; 1 Fone de Ouvido; 1 Cabo para Sincronismo; 1 Carregador de Parede Turbopower e Manual de Instruções
Dimensões aproximadas do produto - cm (AxLxP): ;15,2x7,6x0,9cm
Peso líq. aproximado do produto (kg): ;157g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;XT1640 Bamboo
Fornecedor: ;Motorola
SAC: ;4002-1244 (capitais e regiões metropolitanas) ou 0800 773-1244 (demais localidades)



Nome Produto: ;Smartphone Motorola Moto G4 Plus Dual Chip Android 6.0 Tela 5.5'' 32GB Câmera 16MP - Preto
Preco: ;R$ 1.099,00
Código: ;127115104
Código de barras: ;7892597338788
Marca: ;Motorola
Modelo: ;Moto G4 Plus
Cor: ;Preto
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;32GB
Memória RAM: ;2GB
Processador: ;4 x 1.5 GHz + 4 x 1.2 GHz Octa-core Qualcomm Snapdragon 617 (MSM8952)
Sistema Operacional: ;Android
Versão: ;6.0 Marshmallow
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5.5"
Resolução: ;1920x1080
Câmera traseira: ;16MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 128GB
Alimentação/Tipo de bateria: ;3000 mAh lithium
Banda: ;GSM 850/900/1800/1900 MHz; WCDMA 850/900/1900/2100 MHz; LTE 700(B28)/850(B5)/1800(B3)/2600(B7) MHz
Conectividade: ;Wi-Fi, 4G
TV: ;Não
Recursos de Chamada: ;Viva Voz, Espera de Chamada
Conteúdo da Embalagem: ;1 telefone preto 32GB com capa lava; 1 kit de manuais; 1 fone de ouvido estéreo; 1 cabo para sincronismo; 1 carregador de parede turbopower; 1 capa traseira preta
Dimensões aproximadas do produto - cm (AxLxP): ;15,2x7,6x0,9cm
Peso líq. aproximado do produto (kg): ;157g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;XT1640
Fornecedor: ;Motorola
SAC: ;11 4002-1244 (capitais e regiões metropolitanas) ou 0800 773 12 44 (demais localidades)



Nome Produto: ;Smartphone Samsung Galaxy J5 Duos Dual Chip Android 5.1 Tela 5" 16GB 4G Wi-Fi Câmera 13MP - Dourado
Preco: ;R$ 709,99
Código: ;124132646
Código de barras: ;7892509081603, 7892509081085
Marca: ;Samsung
Modelo: ;Galaxy J5 Duos
Cor: ;Dourado
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1.5GB
Processador: ;Qualcomm Snapdragon 1.2 GHz Quad Core
Sistema Operacional: ;Android
Versão: ;Android 5.1 Lollipop
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5"
Resolução: ;720 x 1280
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 128GB
Alimentação/Tipo de bateria: ;Ions de Lítio 2600 mAh
Banda: ;GSM: 850/900/1800/1900 3G: 850 / 900 / 1900 / 2100 / AWS
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Não
TV: ;Não
Recursos de Chamada: ;Chamada Rápida, Chamada por Voz, Espera de Chamada
Outros Recursos: ;Acelerômetro, Sensor de Efeito Hall, Sensor de Proximidade
Conteúdo da Embalagem: ;Aparelho, Bateria, Carregador, Fone de ouvido e Cabo USB
Dimensões aproximadas do produto - cm (AxLxP): ;14,2x7,1x0,7cm
Peso líq. aproximado do produto (kg): ;146g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;SM-J500MZDEZTO
Fornecedor: ;Samsung
SAC: ;São Paulo 4004 0000 Outros Estados 0800 124 421



Nome Produto: ;Smartphone Samsung Galaxy J7 Prime Dual Chip Android 6.0 Tela 5.5" Octa- Core 1.6 GHz 32GB 4G Câmera 13MP - Rosa
Preco: ;R$ 1.249,99
Código: ;131664641
Código de barras: ;7892509093071, 7892509093064
Marca: ;Samsung
